"Sample","OD","Dilution"
"CB1-GK256-D182C1",0.209,12800
"CB1-GK256-D182C1",0.12,25600
"CB1-GK256-D182C1",0.0765,51200
"CB1-GK256-D182C1",0.0605,102400
"CB1-GK256-D182C1",0.059,204800
"CB1-GK333-D28C1",4.0385,100
"CB1-GK333-D28C1",4.107,200
"CB1-GK333-D28C1",3.922,400
"CB1-GK333-D28C1",3.2725,800
"CB1-GK333-D28C1",2.1725,1600
"CB1-GK333-D28C1",1.2535,3200
"CB1-GK333-D28C1",0.692,6400
"CB1-GK333-D28C1",0.375,12800
"CB1-GK333-D28C1",0.2025,25600
"CB1-GK333-D28C1",0.116,51200
"CB1-GK333-D28C1",0.08,102400
"CB1-GK333-D28C1",0.0765,204800
"CB1-GK334-D182C1",3.94,100
"CB1-GK334-D182C1",3.525,200
"CB1-GK334-D182C1",2.358,400
"CB1-GK334-D182C1",1.3865,800
"CB1-GK334-D182C1",0.7675,1600
"CB1-GK334-D182C1",0.3995,3200
"CB1-GK334-D182C1",0.2205,6400
"CB1-GK334-D182C1",0.1205,12800
"CB1-GK334-D182C1",0.0715,25600
"CB1-GK334-D182C1",0.056,51200
"CB1-GK334-D182C1",0.0575,102400
"CB1-GK334-D182C1",0.06,204800
